trait,trait_desc,score_low,score_high,trait_ko,trait_desc_ko,score_low_ko,score_high_ko
Affectionate With Family,"How affectionate a breed is likely to be with family members, or other people he knows well. Some breeds can be aloof with everyone but their owner, while other breeds treat everyone they know like their best friend.",Independent,Lovey-Dovey,가족과의 친밀도,"가족이나 친한 지인에게 얼마나 애정을 표현하는지를 나타냅니다. 어떤 품종은 주인 외에는 다소 냉담할 수 있지만, 다른 품종은 아는 사람 모두를 친한 친구처럼 대합니다.",독립적,애정이 넘치는
Good With Young Children,"A breed's level of tolerance and patience with childrens' behavior, and overall family-friendly nature. Dogs should always be supervised around young children, or children of any age who have little exposure to dogs.",Not Recommended,Good With Children,어린 아이들과의 친화력,"어린 아이들의 행동에 대해 얼마나 관대하며 인내심을 보이는지, 그리고 전반적으로 가족 친화적인지를 나타냅니다. 단, 개는 어린 아이들이나 개에 익숙하지 않은 아이들 주변에서는 항상 주의 깊게 관찰해야 합니다.",비추천,어린이와 잘 어울림
Good With Other Dogs,"How generally friendly a breed is towards other dogs. Dogs should always be supervised for interactions and introductions with other dogs, but some breeds are innately more likely to get along with other dogs, both at home and in public.",Not Recommended,Good With Other Dogs,타견과의 사회성,"다른 개들과 얼마나 잘 어울리는지를 나타냅니다. 다른 개와의 상호작용은 항상 감독 하에 이루어져야 하지만, 일부 품종은 집 안팎에서 자연스럽게 친해질 가능성이 높습니다.",비추천,타견과 잘 어울림
Shedding Level,"How much fur and hair you can expect the breed to leave behind. Breeds with high shedding will need to be brushed more frequently, are more likely to trigger certain types of allergies, and are more likely to require more consistent vacuuming and lint-rolling.",No Shedding,Hair Everywhere,털 빠짐 정도,"흩뿌릴 수 있는 털의 양을 나타냅니다. 털이 많이 빠지는 품종은 자주 브러싱해야 하며, 특정 알레르기를 유발할 가능성이 높고, 청소 및 보푸라기 제거가 자주 필요할 수 있습니다.",털 빠짐 없음,털 많이 빠짐
Coat Grooming Frequency,"How frequently a breed requires bathing, brushing, trimming, or other kinds of coat maintenance. Consider how much time, patience, and budget you have for this type of care when looking at the grooming effort needed. All breeds require regular nail trimming.",Monthly,Daily,털 관리 빈도,"목욕, 브러싱, 손질 등 털 관리를 얼마나 자주 필요로 하는지를 나타냅니다. 이러한 관리를 위해 투자할 시간, 인내심, 예산을 고려해야 합니다. 단, 모든 품종은 정기적으로 발톱을 다듬어야 합니다.",월간,매일
Drooling Level,"How drool-prone a breed tends to be. If you're a neat freak, dogs that can leave ropes of slobber on your arm or big wet spots on your clothes may not be the right choice for you.",Less Likely to Drool,Always Have a Towel,침 흘림 정도,"침을 흘리는 정도를 나타냅니다. 만약 깔끔함을 중시한다면, 팔에 침 자국이 생기거나 옷에 젖은 자국이 남는 품종은 적합하지 않을 수 있습니다.",덜 침 흘림,항상 침 흘림
Coat Type,"Canine coats come in many different types, depending on the breed's purpose. Each coat type comes with different grooming needs, allergen potential, and shedding level. You may also just prefer the look or feel of certain coat types over others when choosing a family pet.",,,털 유형,"개의 코트는 품종의 목적에 따라 다양한 형태로 나타납니다. 각 코트 유형마다 관리 필요성, 알레르기 유발 가능성, 털 빠짐 정도가 다릅니다. 가족 반려동물을 선택할 때 특정 코트의 외관이나 촉감이 선호될 수 있습니다.",,
Coat Length,"How long the breed's coat is expected to be. Some long-haired breeds can be trimmed short, but this will require additional upkeep to maintain.",,,털 길이,"이 품종의 털 길이를 나타냅니다. 일부 장모 품종은 단발로 손질할 수 있으나, 이러한 경우에도 추가 관리가 필요할 수 있습니다.",,
Openness To Strangers,"How welcoming a breed is likely to be towards strangers. Some breeds will be reserved or cautious around all strangers, regardless of the location, while other breeds will be happy to meet a new human whenever one is around!",Reserved,Everyone Is My Best Friend,낯선 사람에 대한 친화력,"낯선 사람을 얼마나 잘 받아들이는지를 나타냅니다. 어떤 품종은 장소에 상관없이 낯선 사람에게 조심스러운 반면, 다른 품종은 새로운 사람을 만나는 것을 즐깁니다.",내성적,모두와 잘 어울림
Playfulness Level,"How enthusiastic about play a breed is likely to be, even past the age of puppyhood. Some breeds will continue wanting to play tug-of-war or fetch well into their adult years, while others will be happy to just relax on the couch with you most of the time.",Only When You Want To Play,Non-Stop,장난기 수준,"강아지 시기를 지나서도 얼마나 적극적으로 놀고자 하는지를 나타냅니다. 일부 품종은 성견이 되어도 줄다리기나 공 던지기를 계속 즐기지만, 다른 품종은 주로 함께 휴식을 취하는 것을 선호합니다.",원할 때만 놀이,끊임없이 놀이함
Watchdog/Protective Nature,"A breed's tendency to alert you that strangers are around. These breeds are more likely to react to any potential threat, whether it's the mailman or a squirrel outside the window. These breeds are likely to warm to strangers who enter the house and are accepted by their family.",What's Mine Is Yours,Vigilant,경비 및 보호 성향,"외부의 낯선 사람이 접근할 때 경계하고 알려주는 정도를 나타냅니다. 우편배달부나 창밖의 다람쥐와 같은 잠재적 위협에 민감하게 반응할 수 있으며, 가족에게 받아들여지면 낯선 사람에게도 따뜻하게 대할 수 있습니다.",소유욕이 약함,경계심 강함
Adaptability Level,"How easily a breed handles change. This can include changes in living conditions, noise, weather, daily schedule, and other variations in day-to-day life.",Lives For Routine,Highly Adaptable,적응력 수준,"생활 환경의 변화에 얼마나 잘 적응하는지를 나타냅니다. 주거 환경, 소음, 날씨, 일상 일정 등 다양한 변화에 대한 대처 능력을 평가합니다.",규칙적인 일상을 선호함,매우 적응력이 뛰어남
Trainability Level,"How easy it will be to train your dog, and how willing your dog will be to learn new things. Some breeds just want to make their owner proud, while others prefer to do what they want, when they want to, wherever they want!",Self-Willed,Eager to Please,훈련 용이성,"훈련에 얼마나 잘 반응하며 새로운 것을 배우려는 의지가 어느 정도인지를 나타냅니다. 일부 품종은 주인을 기쁘게 하려고 노력하지만, 다른 품종은 자기 주장이 강해 스스로 원하는 대로 행동합니다.",자기주장이 강함,주인을 기쁘게 하려 함
Energy Level,"The amount of exercise and mental stimulation a breed needs. High energy breeds are ready to go and eager for their next adventure. They'll spend their time running, jumping, and playing throughout the day. Low energy breeds are like couch potatoes - they're happy to simply lay around and snooze.",Couch Potato,High Energy,에너지 수준,"필요로 하는 운동량과 정신적 자극의 정도를 나타냅니다. 고에너지 품종은 언제든지 활동할 준비가 되어 있으며, 하루 종일 뛰고 놀 준비가 되어 있습니다. 반면, 저에너지 품종은 편하게 쉬며 시간을 보내는 것을 선호합니다.",비활동적,매우 활동적
Barking Level,"How often this breed vocalizes, whether it's with barks or howls. While some breeds will bark at every passer-by or bird in the window, others will only bark in particular situations. Some barkless breeds can still be vocal, using other sounds to express themselves.",Only To Alert,Very Vocal,짖는 빈도,"얼마나 자주 짖거나 소리를 내는지를 나타냅니다. 일부 품종은 지나가는 사람이나 창문 밖의 새를 보면 짖지만, 다른 품종은 특정 상황에서만 소리를 냅니다. 짖지 않는 품종도 다른 방식으로 의사소통할 수 있습니다.",경고용으로만,매우 시끄러움
Mental Stimulation Needs,"How much mental stimulation a breed needs to stay happy and healthy. Purpose-bred dogs can have jobs that require decision-making, problem-solving, concentration, or other qualities, and without the brain exercise they need, they'll create their own projects to keep their minds busy -- and they probably won't be the kind of projects you'd like.",Happy to Lounge,Needs a Job or Activity,정신적 자극 필요성,"행복하고 건강하게 지내기 위해 필요한 정신적 자극의 정도를 나타냅니다. 목적에 맞게 사육된 개는 결정을 내리거나 문제를 해결하는 등 다양한 활동을 필요로 하며, 충분한 자극이 없으면 스스로 엉뚱한 일을 벌일 수 있습니다.",휴식을 선호함,활동이 필요함
